Period,Test_Start,Test_End,Market,Monthly_Return_%,Max_Drawdown_%,Win_Rate_%,Total_Trades
1,2019-01-01,2019-01-28,бычий,3.56,7.3,54.1,38
2,2019-02-01,2019-02-28,бычий,4.18,2.9,52.0,16
3,2019-03-01,2019-03-28,боковой,2.46,8.0,58.7,32
4,2019-04-01,2019-04-28,бычий,3.93,6.6,70.9,39
5,2019-05-01,2019-05-28,медвежий,2.03,10.0,62.0,17
6,2019-06-01,2019-06-28,боковой,2.79,6.3,60.2,16
7,2019-07-01,2019-07-28,бычий,4.16,7.3,40.8,34
8,2019-08-01,2019-08-28,медвежий,1.93,8.5,57.8,36
9,2019-09-01,2019-09-28,боковой,2.79,9.4,60.2,35
10,2019-10-01,2019-10-28,бычий,3.36,4.3,64.4,37
11,2019-11-01,2019-11-28,бычий,3.38,6.4,54.4,27
12,2019-12-01,2019-12-28,бычий,4.87,6.9,49.8,25
13,2020-01-01,2020-01-28,медвежий,2.14,9.0,52.5,21
14,2020-02-01,2020-02-28,медвежий,1.91,7.4,49.6,30
15,2020-03-01,2020-03-28,медвежий,1.89,8.8,55.2,23
16,2020-04-01,2020-04-28,бычий,3.06,4.7,51.2,19
17,2020-05-01,2020-05-28,бычий,3.89,8.6,45.1,28
18,2020-06-01,2020-06-28,боковой,2.33,4.3,49.9,23
19,2020-07-01,2020-07-28,бычий,4.51,8.5,50.9,23
20,2020-08-01,2020-08-28,бычий,3.15,7.4,59.5,15
21,2020-09-01,2020-09-28,боковой,2.51,12.7,62.7,42
22,2020-10-01,2020-10-28,бычий,2.90,5.3,54.7,26
23,2020-11-01,2020-11-28,бычий,3.76,3.2,62.1,15
24,2020-12-01,2020-12-28,бычий,3.98,15.2,53.7,22
